from	to	weight	layer
CXCL8	NPAS4	0.3267393661095418	signaling
CXCL8	PARP1	0.0602913931857735	signaling
CXCL8	PEBP4	0.24004188412919383	signaling
CXCL8	POU4F2	0.24515269679677829	signaling
CXCL8	PRKD1	0.02534414145498189	signaling
CXCL8	PRKDC	0.055646460259276005	signaling
CXCL8	PTK2	0.050471744938239034	signaling
CXCL8	RELA	0.12332002918513847	signaling
CXCL8	SP1	0.0554111287053356	signaling
CXCL8	SRC	0.05095656006890583	signaling
CXCL8	TAF1	0.040538174743667166	signaling
CXCL8	TP53	0.05926589112394979	signaling
CXCL8	WDR17	0.3672677988140494	signaling
DISP1	EID1	0.3431717711612606	signaling
EGFR	AHR	0.11117866757647385	signaling
EGFR	CTNNB1	0.5378114766646888	signaling
EGFR	ERBB2	0.5985172501612525	signaling
EGFR	ESR1	0.4487741569813155	signaling
EGFR	FHL2	0.2952460448651087	signaling
EGFR	FOXO1	0.0804512500331607	signaling
EGFR	GSK3B	0.1367252445109285	signaling
EGFR	HNF4A	0.04131013998790734	signaling
EGFR	IKBKE	0.2763357553459316	signaling
EGFR	JUN	0.11771038422789187	signaling
EGFR	MAPK1	0.366589916752484	signaling
EGFR	MYC	0.0627779198685824	signaling
EGFR	NFKB1	0.12406344453511943	signaling
EGFR	PARP1	0.2902184524884617	signaling
EGFR	PRKCA	0.29004787105553526	signaling
EGFR	PRKD1	0.5775758410517071	signaling
EGFR	PRKDC	0.4000873665792579	signaling
EGFR	PTK2	0.49501994552162937	signaling
EGFR	RAF1	0.23269740699054306	signaling
EGFR	RELA	0.06886559665482	signaling
EGFR	SRC	0.4960174725936614	signaling
EGFR	STAT3	0.6208987162815282	signaling
EGFR	TP53	0.05978217684127441	signaling
EID1	DISP1	0.8550636594520638	signaling
EID1	HNF4A	0.06666102648975578	signaling
EID1	NR0B2	0.6384068939157884	signaling
ERBB2	ABL1	0.36899397713532545	signaling
ERBB2	CTNNB1	0.44223496644326316	signaling
ERBB2	EGFR	0.41446594947369547	signaling
ERBB2	ERBB4	0.7106976610286045	signaling
ERBB2	ESR1	0.34455344472732874	signaling
ERBB2	FHL2	0.08915088160781982	signaling
ERBB2	FOXO1	0.0804512500331607	signaling
ERBB2	GSK3B	0.06706000868728834	signaling
ERBB2	IGF1R	0.3426004805508246	signaling
ERBB2	IL6R	0.1244051004255996	signaling
ERBB2	JUN	0.12502318206450536	signaling
ERBB2	MAPK1	0.07020116618361132	signaling
ERBB2	MDM2	0.07825905179361883	signaling
ERBB2	NFKB1	0.0730948326383821	signaling
ERBB2	NOTCH1	0.09410627307177227	signaling
ERBB2	PARP1	0.047329596829710496	signaling
ERBB2	PRKCA	0.06331333350993872	signaling
ERBB2	PRKD1	0.09254334539042156	signaling
ERBB2	PTK2	0.31209920948956654	signaling
ERBB2	SRC	0.33864053471841943	signaling
ERBB2	TAF1	0.04032419491506822	signaling
ERBB2	TFAP2A	0.032812919583280496	signaling
ERBB2	TP53	0.06672155732869878	signaling
ERBB4	ABL1	0.26156096668958423	signaling
ERBB4	CTNNB1	0.051322999059982874	signaling
ERBB4	EGFR	0.377032998633727	signaling
ERBB4	ERBB2	0.475401599465514	signaling
ERBB4	ESR1	0.1925543360061895	signaling
ERBB4	MAPK1	0.1558418007124272	signaling
ERBB4	MDM2	0.32426774570851874	signaling
ERBB4	NFKB1	0.0730948326383821	signaling
ERBB4	PRKCA	0.06331333350993872	signaling
ERBB4	PRKD1	0.09254334539042156	signaling
ERBB4	SP1	0.07946591104396206	signaling
ERBB4	STAT3	0.10847743907136721	signaling
ERBB4	TFAP2A	0.13634892139866847	signaling
ERBB4	TP53	0.07507539651925431	signaling
ESR1	AHR	0.35227582535923674	signaling
ESR1	CTNNB1	0.22002007760936024	signaling
ESR1	ERBB2	0.4046666134409797	signaling
ESR1	FHL2	0.40545811994798414	signaling
ESR1	FOXO1	0.6318040701855331	signaling
ESR1	GSK3B	0.3152045409534855	signaling
ESR1	HNF4A	0.2143550375794952	signaling
ESR1	IGF1R	0.6465030851456754	signaling
ESR1	ILK	0.1304389702799564	signaling
ESR1	JUN	0.3297746853704216	signaling
ESR1	MAPK1	0.2963969368317162	signaling
ESR1	MYC	0.3235253421536045	signaling
ESR1	NFKB1	0.4002694356494426	signaling
ESR1	NOTCH1	0.06561977004548089	signaling
ESR1	NR0B2	0.7640914467126262	signaling
ESR1	PARP1	0.2633670670825574	signaling
ESR1	POU4F2	1.365985655653395	signaling
ESR1	PRKDC	0.19429275294885512	signaling
ESR1	PTK2	0.1366763259328492	signaling
ESR1	RAF1	0.06664575396666708	signaling
ESR1	RELA	0.29256047485543535	signaling
ESR1	SP1	0.4273654428086407	signaling
ESR1	SRC	0.3850862576015717	signaling
ESR1	STAT3	0.20457038892357046	signaling
ESR1	TAF1	0.03513796560608887	signaling
ESR1	TFAP2A	0.2903388549917827	signaling
ESR1	TP53	0.31849977594868817	signaling
ETS1	CTNNB1	0.08281849930483715	signaling
ETS1	ERBB2	0.033588380769552256	signaling
ETS1	JUN	0.22149150115347416	signaling
ETS1	MDM2	0.026839841132739344	signaling
ETS1	MYC	0.021530409036389343	signaling
ETS1	NFKB1	0.2352871460612817	signaling
ETS1	PARP1	0.1271579717620362	signaling
ETS1	PRKDC	0.2540000614455498	signaling
ETS1	SP1	0.30878932900825956	signaling
ETS1	TP53	0.22618885710713507	signaling
ETS1	WDR17	1.2823362235184217	signaling
FHL2	CTNNB1	0.26604006129893815	signaling
FHL2	EGFR	0.1656845069907239	signaling
FHL2	ERBB2	0.0732739812958988	signaling
FHL2	ESR1	0.2516133143388021	signaling
FHL2	FOXO1	0.6965142485551786	signaling
FHL2	JUN	0.06895049431557003	signaling
FHL2	MAPK1	0.23010739643807823	signaling
FHL2	MDM2	0.19053280881193654	signaling
FHL2	MYC	0.21832843308863498	signaling
FHL2	PTK2	0.07238226845773389	signaling
FHL2	SP1	0.19347107956194473	signaling
FHL2	SRC	0.07307754893561784	signaling
FHL2	STAT3	0.27169381175883406	signaling
FHL2	TAF1	0.05813638998757035	signaling
FHL2	TFAP2A	0.13634892139866847	signaling
FHL2	TP53	0.04686361008000417	signaling
FOXH1	SMAD7	0.15371554611475158	signaling
FOXO1	ERBB2	0.06829042860719278	signaling
FOXO1	HNF4A	0.27148936866387235	signaling
FOXO1	JUN	0.04272893356734211	signaling
FOXO1	NFKB1	0.0730948326383821	signaling
FOXO1	NR0B2	0.25627698399769516	signaling
FOXO1	PARP1	0.2125835522683399	signaling
FOXO1	PTK2	0.050471744938239034	signaling
FOXO1	RELA	0.1315893764711845	signaling
FOXO1	STAT3	0.19691273623513442	signaling
GSK3B	ABL1	0.07882420009778521	signaling
GSK3B	AHR	0.04567519771948283	signaling
GSK3B	CTNNB1	0.4375836171437867	signaling
GSK3B	EGFR	0.0818210950170731	signaling
GSK3B	ERBB2	0.021900888082822197	signaling
GSK3B	ESR1	0.4398521023949291	signaling
GSK3B	ETS1	0.1366722100519683	signaling
GSK3B	FOXO1	0.5464296418067279	signaling
GSK3B	HNF4A	0.16721464312564133	signaling
GSK3B	IGF1R	0.028067604774341406	signaling
GSK3B	JUN	0.3068516526136259	signaling
GSK3B	MAPK1	0.24108973858534993	signaling
GSK3B	MDM2	0.43465040894571144	signaling
GSK3B	MYC	0.44851003471362955	signaling
GSK3B	NFKB1	0.41816178911765334	signaling
GSK3B	NOTCH1	0.2459623125980909	signaling
GSK3B	PARP1	0.047329596829710496	signaling
GSK3B	PRKCA	0.18648761734941816	signaling
GSK3B	PRKDC	0.13802878076306369	signaling
GSK3B	PTK2	0.27151709801340557	signaling
GSK3B	RELA	0.3882274264037452	signaling
GSK3B	SMAD7	0.034374454084832404	signaling
GSK3B	SP1	0.017770468762156696	signaling
GSK3B	SRC	0.1266949549457198	signaling
GSK3B	STAT3	0.3507870736803006	signaling
GSK3B	TAF1	0.013000680274679563	signaling
GSK3B	TFAP2A	0.08405003360551284	signaling
GSK3B	TP53	0.5152645158058347	signaling
GSK3B	WDR17	0.11778357702976497	signaling
HNF4A	BAMBI	0.372662637898325	signaling
HNF4A	EID1	0.2232517018348991	signaling
HNF4A	FOXO1	0.44827266826185874	signaling
HNF4A	JUN	0.06895049431557003	signaling
HNF4A	MDM2	0.16631648899764603	signaling
HNF4A	NR0B2	0.5469484503340473	signaling
HNF4A	PARP1	0.047329596829710496	signaling
HNF4A	PTK2	0.13191659909019868	signaling
HNF4A	SAP18	0.13028195041381435	signaling
HNF4A	SP1	0.2872314624517921	signaling
HNF4A	TP53	0.24116668690781198	signaling
IGF1R	EGFR	0.26272721780890385	signaling
IGF1R	ERBB2	0.2673279334659853	signaling
IGF1R	ESR1	0.4279354207628537	signaling
IGF1R	ETS1	0.1047467734792771	signaling
IGF1R	ILK	0.03520307783883988	signaling
IGF1R	JAK3	0.1057870708237039	signaling
IGF1R	MAPK1	0.1558418007124272	signaling
IGF1R	MDM2	0.3301694575685101	signaling
IGF1R	MYC	0.0627779198685824	signaling
IGF1R	PRKCA	0.06661942454641584	signaling
IGF1R	PRKD1	0.5968716042386293	signaling
IGF1R	PTK2	0.20693439744795714	signaling
IGF1R	RAF1	0.0955776516363036	signaling
IGF1R	SP1	0.021518177931716034	signaling
IGF1R	SRC	0.33630166413088763	signaling
IGF1R	STAT3	0.49307098468690896	signaling
IGF1R	TAF1	0.04032419491506822	signaling
IGF1R	TP53	0.14179695384795307	signaling
IKBKE	ESR1	0.34492546125820817	signaling
IKBKE	NFKB1	0.025068712828415766	signaling
IKBKE	PARP1	0.12422927299872197	signaling
IKBKE	RELA	0.3918837841777171	signaling
IKBKE	STAT3	0.1544283974109963	signaling
IL6R	ERBB2	0.0732739812958988	signaling
IL6R	FOXO1	0.0804512500331607	signaling
IL6R	JAK3	0.1395795251882705	signaling
IL6R	MAPK1	0.05056494104408354	signaling
IL6R	NOTCH1	0.09410627307177227	signaling
IL6R	RELA	0.02658943012897412	signaling
IL6R	SRC	0.18454392400123212	signaling
IL6R	STAT3	0.39681847318947805	signaling
ILK	CTNNB1	0.23298757959465935	signaling
ILK	ESR1	0.09162537128797554	signaling
ILK	GSK3B	0.5247605990469872	signaling
ILK	JUN	0.12502318206450536	signaling
ILK	MAPK1	0.005708197925841796	signaling
ILK	MYC	0.07063799790477272	signaling
ILK	NOTCH1	0.10588880189062447	signaling
ILK	PARP1	0.09811311164392801	signaling
ILK	PRKDC	0.3338034649169034	signaling
ILK	PTK2	0.14218763311037652	signaling
ILK	RAF1	0.3042066921012575	signaling
ILK	STAT3	0.06386654453154593	signaling
ILK	TAF1	0.06541532759813912	signaling
ITGB1	ABL1	0.07451700483041426	signaling
ITGB1	ACAP1	0.8405605950953239	signaling
ITGB1	EGFR	0.17256325328262367	signaling
ITGB1	ERBB2	0.042268410356451305	signaling
ITGB1	ERBB4	0.1493373675953897	signaling
ITGB1	FHL2	0.31153886667077435	signaling
ITGB1	IGF1R	0.3468896278921536	signaling
ITGB1	ILK	0.4220730611906573	signaling
ITGB1	MAPK1	0.05056494104408354	signaling
ITGB1	MYC	0.0627779198685824	signaling
ITGB1	PRKCA	0.35933408034318537	signaling
ITGB1	PTK2	0.43699776232675486	signaling
ITGB1	SRC	0.17683708080075783	signaling
ITGB1	TAF1	0.04032419491506822	signaling
ITGB1	TFAP2A	0.12117701400983373	signaling
JAK3	ABL1	0.10743301044574116	signaling
JAK3	CTNNB1	0.09309588900555389	signaling
JAK3	ETS1	0.09954855432236352	signaling
JAK3	IL6R	0.23608920874538086	signaling
JAK3	STAT3	0.5001057060779045	signaling
JAK3	TAF1	0.10055329320422798	signaling
JUN	ABL1	0.3642023780798194	signaling
JUN	AHR	0.030246076749304057	signaling
JUN	CTNNB1	0.21053373548570536	signaling
JUN	ETS1	0.5160240823648995	signaling
JUN	FHL2	0.13407599285172536	signaling
JUN	HNF4A	0.06666102648975578	signaling
JUN	MAPK1	0.18678883115218936	signaling
JUN	MDM2	0.22149164346312133	signaling
JUN	MYC	0.14149081926939835	signaling
JUN	NFKB1	0.1655478911660066	signaling
JUN	PARP1	0.12370405377752917	signaling
JUN	PTK2	0.06429405747511532	signaling
JUN	SP1	0.2974528811499045	signaling
JUN	SRY	0.387689101071484	signaling
JUN	TAF1	0.21013539137001236	signaling
JUN	TFAP2A	0.2575259354085022	signaling
JUN	TP53	0.15037911146355568	signaling
MAPK1	ABL1	0.024024577722318283	signaling
MAPK1	AHR	0.07801218852393749	signaling
MAPK1	CTNNB1	0.01645939674727836	signaling
MAPK1	EGFR	0.40236369323755605	signaling
MAPK1	ERBB2	0.16095625001405073	signaling
MAPK1	ESR1	0.48969866595412226	signaling
MAPK1	ETS1	0.8102224495530908	signaling
MAPK1	FHL2	0.40394719168560694	signaling
MAPK1	FOXO1	0.14361844646869415	signaling
MAPK1	GSK3B	0.5822890641847506	signaling
MAPK1	HNF4A	0.1079711664776631	signaling
MAPK1	IGF1R	0.1535802073999238	signaling
MAPK1	JAK3	0.07128480536933958	signaling
MAPK1	JUN	0.3966778104461175	signaling
MAPK1	MDM2	0.09575963810773211	signaling
MAPK1	MYC	0.3143615808640075	signaling
MAPK1	NFKB1	0.12406344453511943	signaling
MAPK1	NOTCH1	0.1932811603558591	signaling
MAPK1	NR0B2	0.1883600562956988	signaling
MAPK1	PARP1	0.3925880138435266	signaling
MAPK1	PRKCA	0.19734515169530786	signaling
MAPK1	PTK2	0.29007913204494035	signaling
MAPK1	RAF1	0.4980055468040388	signaling
MAPK1	RELA	0.2613682957655459	signaling
MAPK1	SMAD7	0.034374454084832404	signaling
MAPK1	SP1	0.6132129742338343	signaling
MAPK1	STAT3	0.497094961695671	signaling
MAPK1	TP53	0.45841194490328474	signaling
MDM2	CTNNB1	0.05105209178279338	signaling
MDM2	EID1	0.8370774307829199	signaling
MDM2	ERBB2	0.09793630362073232	signaling
MDM2	ESR1	0.3776595278711033	signaling
MDM2	FHL2	0.2901046898866601	signaling
MDM2	FOXO1	0.3396775538396237	signaling
MDM2	HNF4A	0.125904503137734	signaling
MDM2	IGF1R	0.50135348097023	signaling
MDM2	JUN	0.1734317825780622	signaling
MDM2	MYC	0.0627779198685824	signaling
MDM2	NFKB1	0.0730948326383821	signaling
MDM2	NOTCH1	0.22491791048937085	signaling
MDM2	NR0B2	0.36840917860320077	signaling
MDM2	PARP1	0.047079768634896164	signaling
MDM2	RELA	0.1852973192153223	signaling
MDM2	RNF2	0.09460230964880528	signaling
MDM2	SP1	0.228336115127184	signaling
MDM2	TAF1	0.24527335697610123	signaling
MDM2	TP53	0.44111378301726195	signaling
MYC	ARNT2	0.06748622001347464	signaling
MYC	EGFR	0.06686785204375895	signaling
MYC	ERBB2	0.13622038774824122	signaling
MYC	FHL2	0.41440304513701953	signaling
MYC	HNF4A	0.16721464312564133	signaling
MYC	IGF1R	0.12551260262558242	signaling
MYC	ILK	0.1154959450337753	signaling
MYC	JUN	0.16913776590802038	signaling
MYC	MAPK1	0.1733160734298661	signaling
MYC	MDM2	0.07825905179361883	signaling
MYC	NFKB1	0.12406344453511943	signaling
MYC	PARP1	0.11520566467552219	signaling
MYC	POU4F2	0.3955961035229828	signaling
MYC	PTK2	0.12285401339597292	signaling
MYC	RELA	0.34347612581548087	signaling
MYC	SAP18	0.13028195041381435	signaling
MYC	SMAD7	0.26586797669805934	signaling
MYC	SP1	0.4716452222642348	signaling
MYC	STAT3	0.18141285807283322	signaling
MYC	TAF1	0.10055329320422798	signaling
MYC	TFAP2A	0.34295963684523245	signaling
MYC	TP53	0.188321517047331	signaling
MYOM2	AHR	0.017737358082357605	signaling
MYOM2	NFKB1	0.0730948326383821	signaling
MYOM2	TAF1	0.14154132237289802	signaling
NFKB1	ACAP1	0.29699303377191616	signaling
NFKB1	BAMBI	0.22972170896233549	signaling
NFKB1	CTNNB1	0.24951745276876278	signaling
NFKB1	EGFR	0.08980095031940594	signaling
NFKB1	ERBB2	0.09793630362073232	signaling
NFKB1	ERBB4	0.1493373675953897	signaling
NFKB1	ETS1	0.45954744242377	signaling
NFKB1	FOXO1	0.1153763156947766	signaling
NFKB1	JAK3	0.19363074883203266	signaling
NFKB1	MAPK1	0.12308086340185012	signaling
NFKB1	MDM2	0.07825905179361883	signaling
NFKB1	MYOM2	0.2931233262514111	signaling
NFKB1	PARP1	0.3312431349283691	signaling
NFKB1	PTK2	0.050471744938239034	signaling
NFKB1	RAF1	0.0955776516363036	signaling
NFKB1	RELA	0.3994482207418105	signaling
NFKB1	SMAD7	0.0527185129744775	signaling
NFKB1	SRY	0.2289123591547786	signaling
NFKB1	STAT3	0.29990924765238425	signaling
NFKB1	TFAP2A	0.2575259354085022	signaling
NOTCH1	CTNNB1	0.2596370961154764	signaling
NOTCH1	EGFR	0.11349442571754799	signaling
NOTCH1	ERBB2	0.09793630362073232	signaling
NOTCH1	IGF1R	0.043045989408498804	signaling
NOTCH1	IL6R	0.16627697133103855	signaling
NOTCH1	ILK	0.1154959450337753	signaling
NOTCH1	JUN	0.04272893356734211	signaling
NOTCH1	MAPK1	0.13842950311106827	signaling
NOTCH1	MYC	0.11793357318546802	signaling
NOTCH1	NFKB1	0.3391749358457101	signaling
NOTCH1	PARP1	0.07637445694781869	signaling
NOTCH1	PRKDC	0.14605912084640119	signaling
NOTCH1	RELA	0.20270121150913342	signaling
NOTCH1	RNF2	0.09460230964880528	signaling
NOTCH1	STAT3	0.059522815910696955	signaling
NOTCH1	TP53	0.06672155732869878	signaling
NPAS4	AHR	0.017737358082357605	signaling
NPAS4	ARNT2	0.6334046831249956	signaling
NR0B2	AHR	0.06550346985699104	signaling
NR0B2	ERBB2	0.06829042860719278	signaling
NR0B2	ESR1	0.3075291988549091	signaling
NR0B2	FOXO1	0.19540290564391724	signaling
NR0B2	HNF4A	0.2421479922587151	signaling
NR0B2	JUN	0.10400712286253357	signaling
NR0B2	MAPK1	0.02487016889508515	signaling
NR0B2	MDM2	0.19053280881193654	signaling
NR0B2	PARP1	0.047329596829710496	signaling
NR0B2	PTK2	0.050471744938239034	signaling
NR0B2	RELA	0.10783557882781217	signaling
NR0B2	TP53	0.18883780276465562	signaling
PARP1	ABL1	0.18581723085098922	signaling
PARP1	AHR	0.06341255580184042	signaling
PARP1	ETS1	0.2674519350971631	signaling
PARP1	FOXO1	0.3613513247960264	signaling
PARP1	IKBKE	0.20951917456484295	signaling
PARP1	MDM2	0.05428154825349503	signaling
PARP1	NFKB1	0.4214725561925031	signaling
PARP1	NOTCH1	0.10588880189062447	signaling
PARP1	PRKDC	0.44537133772512616	signaling
PARP1	PTK2	0.0817112681037289	signaling
PARP1	RELA	0.3776916504498234	signaling
PARP1	SP1	0.3878029227316994	signaling
PARP1	TFAP2A	0.12117701400983373	signaling
PARP1	TP53	0.2209696927784911	signaling
PEBP4	RAF1	0.5427962701163922	signaling
POU4F2	AHR	0.017737358082357605	signaling
POU4F2	ESR1	0.2639507050915286	signaling
POU4F2	MYC	0.07063799790477272	signaling
POU4F2	TAF1	0.06541532759813912	signaling
POU4F2	TP53	0.06499860199605234	signaling
PRKCA	ABL1	0.23873403870684146	signaling
PRKCA	AHR	0.2521656072376428	signaling
PRKCA	CTNNB1	0.2800322885385074	signaling
PRKCA	EGFR	0.4318783621667335	signaling
PRKCA	ERBB2	0.2563459869876415	signaling
PRKCA	ERBB4	0.033395389180254344	signaling
PRKCA	ESR1	0.15615005147449906	signaling
PRKCA	ETS1	0.011237882207912775	signaling
PRKCA	FOXO1	0.16510349757921117	signaling
PRKCA	GSK3B	0.46007545760043306	signaling
PRKCA	HNF4A	0.05455839118522937	signaling
PRKCA	ILK	0.3755440513931113	signaling
PRKCA	JUN	0.03471932056733006	signaling
PRKCA	MAPK1	0.19126299556570492	signaling
PRKCA	MDM2	0.01750058631411329	signaling
PRKCA	MYC	0.026026877126012014	signaling
PRKCA	MYOM2	0.06554935121461682	signaling
PRKCA	NFKB1	0.17343166350659314	signaling
PRKCA	NOTCH1	0.021044402108720075	signaling
PRKCA	PEBP4	0.24004188412919383	signaling
PRKCA	PRKD1	0.60860461791112	signaling
PRKCA	PTK2	0.1366763259328492	signaling
PRKCA	RAF1	0.473423328319448	signaling
PRKCA	RELA	0.12122858864082894	signaling
PRKCA	SP1	0.09464093500882496	signaling
PRKCA	SRC	0.38399890648165647	signaling
PRKCA	STAT3	0.1735174931484522	signaling
PRKCA	TP53	0.37578357003995494	signaling
PRKD1	ABL1	0.20093503785330627	signaling
PRKD1	AHR	0.04567519771948283	signaling
PRKD1	CTNNB1	0.26929079414987894	signaling
PRKD1	EGFR	0.2571401955297277	signaling
PRKD1	ESR1	0.050275892891750294	signaling
PRKD1	FOXO1	0.0804512500331607	signaling
PRKD1	HNF4A	0.04131013998790734	signaling
PRKD1	JUN	0.3069042795473895	signaling
PRKD1	MAPK1	0.07020116618361132	signaling
PRKD1	PEBP4	0.24004188412919383	signaling
PRKD1	PTK2	0.050471744938239034	signaling
PRKD1	RAF1	0.06664575396666708	signaling
PRKD1	RELA	0.06886559665482	signaling
PRKD1	SRC	0.13667903375956553	signaling
PRKD1	TFAP2A	0.5796980478997124	signaling
PRKD1	TP53	0.08781672444382618	signaling
PRKDC	ABL1	0.5448050877886044	signaling
PRKDC	ESR1	0.17554111423056096	signaling
PRKDC	ETS1	0.45439258484516165	signaling
PRKDC	GSK3B	0.1663396232921015	signaling
PRKDC	ILK	0.42934331320995234	signaling
PRKDC	JUN	0.23947729204188278	signaling
PRKDC	MDM2	0.11170065186465782	signaling
PRKDC	MYC	0.18539788731654594	signaling
PRKDC	NFKB1	0.3560919313010226	signaling
PRKDC	NOTCH1	0.17223675824713902	signaling
PRKDC	PRKD1	0.09737576705769724	signaling
PRKDC	PTK2	0.050471744938239034	signaling
PRKDC	RAF1	0.14163514220248186	signaling
PRKDC	RELA	0.08723587678084138	signaling
PRKDC	RNF2	0.09460230964880528	signaling
PRKDC	SP1	0.37066113328855665	signaling
PRKDC	SRC	0.053617406010101974	signaling
PRKDC	STAT3	0.15991686073307249	signaling
PRKDC	TAF1	0.06541532759813912	signaling
PRKDC	TP53	0.47122705689522504	signaling
PTK2	ABL1	0.10743301044574116	signaling
PTK2	AHR	0.04567519771948283	signaling
PTK2	EGFR	0.27935307875187393	signaling
